# from_node,gender,age,academy,interest            to_node,gender,age,academy,interest
0,1,25,1,0 8,0,24,1,0
0,1,25,1,0 2,1,27,1,0
0,1,25,1,0 3,0,26,1,1
2,1,27,1,0 8,0,24,1,0
2,1,27,1,0 16,1,20,1,1
2,1,27,1,0 3,0,26,1,1
2,1,27,1,0 14,1,22,1,0
2,1,27,1,0 17,1,21,1,1
3,0,26,1,1 8,0,24,1,0
3,0,26,1,1 9,1,21,1,0
3,0,26,1,1 11,0,25,1,0
3,0,26,1,1 12,1,24,1,1
3,0,26,1,1 14,1,22,1,0
3,0,26,1,1 16,1,20,1,1
3,0,26,1,1 17,1,21,1,1
8,0,24,1,0 9,1,21,1,0
8,0,24,1,0 11,0,25,1,0
8,0,24,1,0 12,1,24,1,1
8,0,24,1,0 14,1,22,1,0
8,0,24,1,0 15,0,20,1,1
8,0,24,1,0 16,1,20,1,1
8,0,24,1,0 17,1,21,1,1
8,0,24,1,0 19,1,25,1,0
9,1,21,1,0 11,0,25,1,0
9,1,21,1,0 12,1,24,1,1
9,1,21,1,0 14,1,22,1,0
9,1,21,1,0 15,0,20,1,1
9,1,21,1,0 17,1,21,1,1
9,1,21,1,0 19,1,25,1,0
11,0,25,1,0 12,1,24,1,1
11,0,25,1,0 14,1,22,1,0
11,0,25,1,0 15,0,20,1,1
11,0,25,1,0 16,1,20,1,1
11,0,25,1,0 17,1,21,1,1
11,0,25,1,0 19,1,25,1,0
12,1,24,1,1 16,1,20,1,1
12,1,24,1,1 17,1,21,1,1
12,1,24,1,1 19,1,25,1,0
12,1,24,1,1 14,1,22,1,0
12,1,24,1,1 15,0,20,1,1
14,1,22,1,0 16,1,20,1,1
14,1,22,1,0 17,1,21,1,1
14,1,22,1,0 19,1,25,1,0
14,1,22,1,0 15,0,20,1,1
15,0,20,1,1 16,1,20,1,1
15,0,20,1,1 17,1,21,1,1
15,0,20,1,1 19,1,25,1,0
16,1,20,1,1 17,1,21,1,1
16,1,20,1,1 19,1,25,1,0
17,1,21,1,1 19,1,25,1,0
